DISTRICT,ORGCODE,First Language Not English,,English Language Learner,,Students With Disabilities,,High Needs,,Economically Disadvantaged,
Carlisle,00510000,42,6.9,23,3.8,96,15.6,135,22,24,4
Carver,00520000,13,0.8,11,0.7,326,20.5,598,37.6,377,23.9
Central Berkshire,06350000,18,1.1,8,0.5,230,14.3,653,40.6,506,31.6
Chelmsford,00560000,628,12.6,202,4,842,16.6,"1,489",29.3,643,12.9
Chelsea,00570000,"5,229",82.7,"2,357",37.3,992,15.3,"5,238",80.9,"4,193",66.3
Chesterfield-Goshen,06320000,0,0,0,0,31,22.8,60,44.1,35,25.7
Chicopee,00610000,975,12.9,455,6,"1,398",18.5,"4,637",61.3,"4,065",53.9
Christa McAuliffe Charter Public (District),04180000,40,10.1,15,3.8,88,22.3,157,39.7,73,18.5
City on a Hill Charter Public School Circuit Street (District),04370000,87,30.7,38,13.4,65,23,202,71.4,158,55.8
City on a Hill Charter Public School Dudley Square (District),35040000,100,36.8,52,19.1,59,21.7,209,76.8,158,58.1
City on a Hill Charter Public School New Bedford (District),35070000,81,34.3,41,17.4,70,29.7,188,79.7,162,68.6
Clarksburg,00630000,0,0,0,0,47,24.1,96,49.2,67,34.7
Clinton,00640000,427,22.7,161,8.6,405,21.1,979,51.1,683,36.3
Codman Academy Charter Public (District),04380000,46,13.3,21,6.1,70,20.3,230,66.7,183,53
Cohasset,00650000,9,0.6,4,0.3,207,13,273,17.1,81,5.1
Collegiate Charter School of Lowell (District),35030000,345,45.5,146,19.2,83,10.9,466,61.4,321,42.3
Community Charter School of Cambridge (District),04360000,121,33.2,12,3.3,64,17.5,178,48.8,131,35.9
Community Day Charter Public School - Gateway (District),04260000,237,74.1,93,29.1,24,7.5,253,79.1,164,51.3
Community Day Charter Public School - Prospect (District),04400000,288,72,159,39.8,40,10,314,78.5,215,53.8
Community Day Charter Public School - R. Kingman Webster (District),04310000,192,60,88,27.5,29,9.1,243,75.9,167,52.2
Concord,00670000,141,6.7,55,2.6,367,17.1,511,23.8,142,6.7
Concord-Carlisle,06400000,65,5.1,3,0.2,246,18.8,301,23,76,6
Conservatory Lab Charter (District),04390000,72,16,57,12.7,51,11.3,276,61.3,206,45.8
Conway,00680000,0,0,0,0,26,18.8,48,34.8,35,25.4
Danvers,00710000,73,2.1,31,0.9,581,16.6,"1,027",29.3,559,16.1
Dartmouth,00720000,184,5,93,2.5,535,14.4,"1,227",33,809,22
Dedham,00730000,363,13.7,188,7.1,611,22.6,"1,107",41,601,22.6
Deerfield,00740000,10,2.5,4,1,71,17.7,121,30.2,73,18.2
Dennis-Yarmouth,06450000,509,16.7,260,8.5,604,19.5,"1,717",55.5,"1,272",41.6
Dighton-Rehoboth,06500000,29,1,6,0.2,417,14.3,753,25.7,445,15.3
Douglas,00770000,6,0.5,5,0.4,256,19,407,30.3,213,16
Dover,00780000,30,6.1,13,2.6,79,15.9,107,21.5,14,2.8
Dover-Sherborn,06550000,47,3.9,7,0.6,201,16.5,247,20.3,51,4.3
Dracut,00790000,145,4.1,71,2,592,16.4,"1,290",35.7,814,22.9
Dudley Street Neighborhood Charter School (District),04070000,85,29.9,58,20.4,34,12,206,72.5,165,58.1
Dudley-Charlton Reg,06580000,266,6.8,86,2.2,553,14,"1,220",30.8,819,20.9
Duxbury,00820000,44,1.4,14,0.5,434,13.9,587,18.8,190,6.1
East Bridgewater,00830000,25,1.1,18,0.8,443,19.1,729,31.5,378,16.5
East Longmeadow,00870000,196,7.4,60,2.3,473,17.5,887,32.9,475,17.9
Eastham,00850000,7,4.1,3,1.7,30,17.3,63,36.4,45,26.2
Easthampton,00860000,89,5.8,30,1.9,279,17.8,648,41.4,474,30.8
Easton,00880000,156,4.2,49,1.3,668,17.7,"1,009",26.8,459,12.3
Edgartown,00890000,105,30.8,63,18.5,87,25.5,183,53.7,102,29.9
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,209,55,68,17.9,55,14.5,276,72.6,214,56.3
Erving,00910000,2,1.4,2,1.4,25,17.5,60,42,42,29.6
Essex North Shore Agricultural and Technical School District,08170000,95,6.9,4,0.3,246,17.8,454,32.9,253,18.3
Everett,00930000,"4,549",64.4,"1,433",20.3,"1,179",16.5,"4,861",67.9,"3,591",50.8
Excel Academy Charter (District),04100000,691,61.3,164,14.6,218,19.3,736,65.3,519,46.1
Fairhaven,00940000,75,3.7,38,1.9,317,15.3,802,38.6,595,29
Fall River,00950000,"2,409",23.8,"1,536",15.2,"2,106",20.5,"7,756",75.5,"6,879",67.9
Falmouth,00960000,229,6.8,106,3.1,582,17,"1,420",41.5,"1,027",30.4
Farmington River Reg,06620000,1,0.8,0,0,26,21,55,44.4,42,34.7
Fitchburg,00970000,"1,747",32.7,739,13.8,"1,310",23.9,"3,895",71.1,"3,309",61.9
Florida,00980000,0,0,0,0,23,28.8,38,47.5,22,27.5
Four Rivers Charter Public (District),04130000,3,1.4,0,0,28,12.6,83,37.4,64,28.8
Foxborough,00990000,82,3.2,57,2.2,476,18.2,762,29.1,384,14.8
Foxborough Regional Charter (District),04460000,326,22.2,196,13.3,127,8.6,559,38.1,316,21.5
Framingham,01000000,"3,848",44,"1,914",21.9,"2,008",22.4,"5,114",57,"3,046",34.9
Francis W. Parker Charter Essential (District),04780000,8,2,0,0,56,14.1,80,20.2,25,6.3
Franklin,01010000,280,5.3,75,1.4,816,15.2,"1,234",23,489,9.2
Franklin County Regional Vocational Technical,08180000,1,0.2,1,0.2,154,31.6,261,53.6,180,37
Freetown-Lakeville,06650000,32,1.1,16,0.6,441,15.4,822,28.7,489,17.4
Frontier,06700000,16,2.6,10,1.6,130,20.5,213,33.6,126,20.2
Gardner,01030000,178,7.7,86,3.7,534,22.7,"1,425",60.7,"1,183",50.9
Gateway,06720000,30,3.6,23,2.8,176,21.1,368,44,261,31.4
Georgetown,01050000,13,0.9,4,0.3,210,14.4,313,21.5,132,9.1
Gill-Montague,06740000,82,8.4,65,6.7,220,22.4,562,57.2,444,45.5
Global Learning Charter Public (District),04960000,134,26.3,44,8.6,74,14.5,322,63.3,261,51.3
Gloucester,01070000,273,9.4,162,5.6,748,25.3,"1,529",51.7,"1,063",36.6
Gosnold,01090000,0,0,0,0,0,0,0,0,0,0
Grafton,01100000,84,2.7,35,1.1,568,17.9,839,26.4,371,11.8
Granby,01110000,43,6.1,28,4,110,15.4,256,35.9,177,25.2
Greater Fall River Regional Vocational Technical,08210000,82,5.9,31,2.2,147,10.5,625,44.7,523,37.4
Greater Lawrence Regional Vocational Technical,08230000,676,44.8,187,12.4,310,20.5,"1,065",70.6,796,52.8
Greater Lowell Regional Vocational Technical,08280000,589,25.9,143,6.3,483,21.3,"1,382",60.9,"1,021",45
Greater New Bedford Regional Vocational Technical,08250000,447,20.8,67,3.1,240,11.1,"1,036",48.1,870,40.4
Greenfield,01140000,146,8.6,89,5.2,301,17.5,968,56.1,831,48.9
Greenfield Commonwealth Virtual District,39010000,1,0.2,1,0.2,130,22.2,359,61.4,309,52.8
Groton-Dunstable,06730000,55,2.3,19,0.8,403,16.5,541,22.2,163,6.7
Hadley,01170000,36,6.8,17,3.2,87,16.1,160,29.7,93,17.6
Halifax,01180000,5,0.8,3,0.5,105,17,197,32,114,19.1
Hamilton-Wenham,06750000,28,1.6,9,0.5,299,16.4,395,21.7,120,6.7
Hampden Charter School of Science East (District),04990000,21,4.3,19,3.9,51,10.4,237,48.3,205,41.8
Hampden-Wilbraham,06800000,84,2.7,27,0.9,461,14.9,800,25.9,465,15.2
Hampshire,06830000,23,3.3,7,1,147,20.6,225,31.5,113,16.1
Hancock,01210000,0,0,0,0,3,7.1,14,33.3,12,28.6
Hanover,01220000,70,2.7,22,0.8,504,19.2,662,25.2,202,7.7
Harvard,01250000,56,5.1,19,1.7,134,12.1,191,17.2,50,4.6
Hatfield,01270000,1,0.2,1,0.2,85,19.3,140,31.8,71,16.3
Haverhill,01280000,"1,240",16.5,765,10.2,"1,754",23.2,"4,539",60,"3,530",47.1
Hawlemont,06850000,0,0,0,0,32,19.5,100,61,85,52.1
Helen Y. Davis Leadership Academy Charter Public (District),04190000,21,9.8,8,3.7,62,29,162,75.7,127,59.3
Hill View Montessori Charter Public (District),04550000,9,3,7,2.3,45,14.9,95,31.4,55,18.2
Hilltown Cooperative Charter Public (District),04500000,1,0.5,0,0,41,18.8,60,27.5,35,16.1
Hingham,01310000,54,1.3,15,0.3,531,12.2,713,16.4,230,5.4
Holbrook,01330000,194,16,86,7.1,267,21.2,623,49.6,388,31.9
Holland,01350000,0,0,0,0,35,15,84,36.1,64,27.5
Holliston,01360000,253,8.7,69,2.4,467,15.9,662,22.6,196,6.7
Holyoke,01370000,"2,272",42.9,"1,186",22.4,"1,240",23.1,"4,430",82.4,"4,101",77.5
Holyoke Community Charter (District),04530000,184,26.2,108,15.4,123,17.5,540,76.9,489,69.7
Hopedale,01380000,64,5.6,17,1.5,229,19.9,326,28.4,133,11.7
Hopkinton,01390000,222,6.3,129,3.7,442,12.5,677,19.1,157,4.5
Hudson,01410000,533,20.2,244,9.3,455,17,"1,025",38.2,581,22.1
Hull,01420000,4,0.4,2,0.2,203,22.2,380,41.5,262,29.4
Innovation Academy Charter (District),04350000,46,5.7,16,2,152,19,237,29.6,79,9.9
Ipswich,01440000,82,4.7,43,2.5,290,16.5,487,27.7,246,14.2
King Philip,06900000,45,2.2,11,0.5,312,14.9,438,20.9,176,8.6
Kingston,01450000,21,2.1,17,1.7,185,17.5,343,32.5,185,18.1
KIPP Academy Boston Charter School (District),04630000,297,53.2,168,30.1,110,19.7,463,83,367,65.8
KIPP Academy Lynn Charter (District),04290000,974,72.9,371,27.8,172,12.9,928,69.5,687,51.4
Lanesborough,01480000,1,0.5,0,0,43,20.5,78,37.1,53,25.2
Lawrence,01490000,"9,868",71.3,"4,709",34,"2,329",16.7,"11,589",82.9,"8,875",64.1
Lawrence Family Development Charter (District),04540000,595,80.7,212,28.8,46,6.2,543,73.7,440,59.7
Lee,01500000,40,5.8,25,3.6,79,11.4,313,45.1,256,37
Leicester,01510000,96,6.1,42,2.7,273,17.1,598,37.4,396,25.2
Lenox,01520000,57,7.5,20,2.6,71,9.4,192,25.4,132,17.5
Leominster,01530000,"1,341",22.3,619,10.3,"1,401",23,"3,234",53.2,"2,310",38.5
Leverett,01540000,1,0.8,0,0,18,14.4,32,25.6,24,19.2
Lexington,01550000,"2,076",28.7,553,7.6,980,13.3,"1,954",26.6,416,5.7
Libertas Academy Charter School (District),35140000,40,44.4,39,43.3,16,17.8,76,84.4,71,78.9
Lincoln,01570000,85,7.1,50,4.2,256,21.1,347,28.6,68,5.7
Lincoln-Sudbury,06950000,52,3.4,4,0.3,295,18.6,362,22.9,90,5.9
Littleton,01580000,67,4,29,1.7,317,18.7,439,25.9,137,8.3
Longmeadow,01590000,139,4.8,25,0.9,540,18.5,705,24.2,199,6.9
Lowell,01600000,"4,210",29.2,"3,496",24.2,"2,420",16.6,"10,409",71.3,"8,067",55.9
Lowell Community Charter Public (District),04560000,595,73.1,431,52.9,124,15.2,646,79.4,395,48.5
Lowell Middlesex Academy Charter (District),04580000,6,6.6,4,4.4,26,28.6,68,74.7,63,69.2
Ludlow,01610000,222,8.4,69,2.6,427,16,996,37.3,701,26.5
Lunenburg,01620000,57,3.5,35,2.1,268,16.2,478,28.9,264,16.1
Lynn,01630000,"8,185",52.7,"3,383",21.8,"2,516",16,"11,236",71.6,"9,098",58.6
Lynnfield,01640000,147,6.6,24,1.1,388,17.3,537,24,169,7.6
Ma Academy for Math and Science,04680000,0,0,0,0,0,0,4,4.2,4,4.2
Malden,01650000,"3,613",55.2,"1,318",20.2,"1,086",16.4,"4,332",65.3,"2,967",45.4
Manchester Essex Regional,06980000,28,2,10,0.7,136,9.7,250,17.8,112,8.1
Mansfield,01670000,215,5.6,83,2.2,590,15.2,"1,018",26.2,535,13.9
Marblehead,01680000,199,6.4,127,4.1,591,18.9,856,27.4,301,9.7
Marblehead Community Charter Public (District),04640000,1,0.4,1,0.4,54,23.6,76,33.2,24,10.5
Marion,01690000,6,1.3,2,0.4,101,21.9,176,38.1,104,22.9
Marlborough,01700000,"2,139",46.8,"1,103",24.1,798,17.2,"2,706",58.4,"1,636",35.8
Marshfield,01710000,102,2.4,46,1.1,707,16.7,"1,108",26.2,524,12.5
Martha's Vineyard,07000000,97,15.3,62,9.8,130,20.2,274,42.7,138,21.8
Martha's Vineyard Charter (District),04660000,11,6,9,4.9,48,26.1,99,53.8,54,29.3
Martin Luther King Jr. Charter School of Excellence (District),04920000,78,21.6,73,20.2,74,20.5,287,79.5,258,71.5
Masconomet,07050000,22,1.2,7,0.4,341,18.6,430,23.4,113,6.3
Mashpee,01720000,79,4.9,33,2,273,16.6,696,42.4,514,31.7
MATCH Charter Public School (District),04690000,750,61.2,374,30.5,260,21.2,955,78,728,59.4
Mattapoisett,01730000,7,1.6,3,0.7,68,14.9,126,27.7,78,17.6
Maynard,01740000,129,9.2,70,5,267,18.8,485,34.2,256,18.3
Medfield,01750000,84,3.2,34,1.3,322,12.1,445,16.8,132,5
Medford,01760000,"1,021",23.6,460,10.6,818,18.7,"2,117",48.5,"1,347",31.1
Medway,01770000,33,1.5,25,1.1,367,15.9,546,23.7,223,9.8
Melrose,01780000,432,11.1,168,4.3,544,13.8,"1,023",26,465,11.9
Mendon-Upton,07100000,69,3.1,19,0.8,332,14.5,491,21.4,194,8.6
Methuen,01810000,"1,823",26.3,612,8.8,"1,257",17.8,"3,433",48.6,"2,410",34.8
Middleborough,01820000,50,1.7,31,1.1,552,18.5,"1,202",40.4,851,28.9
Middleton,01840000,25,3.6,6,0.9,125,18.1,175,25.3,61,8.9
Milford,01850000,"1,260",30.1,656,15.7,620,14.7,"2,083",49.3,"1,404",33.5
Millbury,01860000,121,7,58,3.3,309,17.6,708,40.4,454,26.2
Millis,01870000,23,1.8,16,1.2,176,13.4,308,23.4,152,11.7
Milton,01890000,345,8.2,82,1.9,657,15.4,"1,060",24.9,441,10.5
Minuteman Regional Vocational Technical,08300000,32,5.9,8,1.5,273,50.7,331,61.5,128,23.8
Mohawk Trail,07170000,4,0.4,2,0.2,192,20.5,430,46,322,34.8
Monomoy Regional School District,07120000,164,8.8,78,4.2,295,15.7,753,40,521,27.9
Monson,01910000,24,2.6,7,0.8,140,14.9,321,34.1,231,24.9
Montachusett Regional Vocational Technical,08320000,58,4.1,9,0.6,215,15.1,522,36.7,370,26
Mount Greylock,07150000,3,0.6,1,0.2,77,14.3,136,25.2,87,16.2
Mystic Valley Regional Charter (District),04700000,608,38.7,39,2.5,200,12.7,492,31.3,301,19.2
Nahant,01960000,1,0.7,0,0,9,6.1,37,25.2,29,19.7
Nantucket,01970000,517,31.9,306,18.9,220,13.5,723,44.4,409,25.3
Narragansett,07200000,10,0.7,4,0.3,263,18.1,563,38.8,411,28.7
Nashoba,07250000,88,2.6,65,1.9,541,16,750,22.2,254,7.6
Nashoba Valley Regional Vocational Technical,08520000,8,1.1,3,0.4,268,38.4,357,51.1,141,20.2
Natick,01980000,556,10.1,169,3.1,789,14.2,"1,309",23.5,518,9.4
Nauset,06600000,50,3.4,25,1.7,230,15.5,502,33.9,315,21.5
Needham,01990000,545,9.6,170,3,962,16.8,"1,327",23.1,317,5.6
Neighborhood House Charter (District),04440000,121,22.7,43,8.1,83,15.6,285,53.5,206,38.6
New Bedford,02010000,"4,859",38.5,"3,766",29.8,"2,714",21.3,"10,170",79.9,"8,509",67.4
New Heights Charter School of Brockton (District),35130000,48,11.4,44,10.4,46,10.9,217,51.4,166,39.3
New Salem-Wendell,07280000,0,0,0,0,25,16.4,65,42.8,53,34.9
Newburyport,02040000,87,3.8,28,1.2,372,16.2,555,24.2,225,9.9
Newton,02070000,"3,217",24.9,907,7,"2,554",19.6,"4,280",32.8,"1,207",9.3
Norfolk,02080000,35,3.7,20,2.1,142,14.9,207,21.7,57,6
Norfolk County Agricultural,09150000,2,0.4,1,0.2,116,21.1,186,33.8,86,15.6
North Adams,02090000,15,1,15,1,372,25.6,974,67,845,58.7
North Andover,02110000,396,8.2,99,2.1,786,16.1,"1,371",28.1,694,14.4
North Attleborough,02120000,306,7.1,150,3.5,687,15.9,"1,289",29.9,687,16
North Brookfield,02150000,1,0.2,0,0,115,20.6,245,43.8,185,33.2
North Middlesex,07350000,48,1.6,27,0.9,706,22.5,"1,128",36,593,19.3
North Reading,02170000,32,1.3,19,0.8,477,18.9,635,25.2,221,8.9
Northampton,02100000,244,9.2,95,3.6,576,21.4,"1,055",39.1,697,26.2
Northampton-Smith Vocational Agricultural,04060000,21,4.2,5,1,190,38.2,284,57,172,34.5
Northboro-Southboro,07300000,158,10.7,21,1.4,212,14.3,317,21.4,106,7.2
Northborough,02130000,244,14.8,76,4.6,308,18.5,506,30.4,184,11.2
Northbridge,02140000,90,4.1,53,2.4,382,17.3,847,38.4,599,27.5
Northeast Metropolitan Regional Vocational Technical,08530000,215,17.3,49,3.9,270,21.7,640,51.4,446,35.8
Northern Berkshire Regional Vocational Technical,08510000,0,0,0,0,90,18.4,211,43.2,168,34.4
Norton,02180000,47,1.9,27,1.1,460,18.3,784,31.2,440,17.8
Norwell,02190000,31,1.4,3,0.1,348,15.7,413,18.6,87,4
Norwood,02200000,726,21.3,340,10,727,21,"1,542",44.5,850,25
Oak Bluffs,02210000,93,21.8,79,18.5,90,21.1,215,50.5,116,27.2
Old Colony Regional Vocational Technical,08550000,1,0.2,1,0.2,135,25.1,203,37.7,103,19.1
Old Rochester,07400000,16,1.3,0,0,162,12.9,268,21.3,152,12.1
Old Sturbridge Academy Charter Public School (District),35150000,9,5.6,9,5.6,15,9.4,64,40,44,27.5
Orange,02230000,10,1.7,9,1.5,158,26.5,389,65.2,334,56.4
Orleans,02240000,16,7.2,15,6.7,42,18.8,93,41.7,61,27.4
Oxford,02260000,4,0.2,4,0.2,275,16.1,722,42.2,573,34
Palmer,02270000,49,3.5,35,2.5,305,21.5,752,53.1,583,41.6
Pathfinder Regional Vocational Technical,08600000,1,0.2,0,0,173,28.2,334,54.4,233,37.9
Paulo Freire Social Justice Charter School (District),35010000,81,30,35,13,44,16.3,214,79.3,197,73
Peabody,02290000,617,10.4,400,6.8,"1,162",19.4,"2,797",46.7,"1,839",31.1
Pelham,02300000,3,2.4,0,0,29,22.8,43,33.9,24,18.9
Pembroke,02310000,35,1.2,18,0.6,391,13.4,686,23.5,371,12.8
Pentucket,07450000,9,0.4,5,0.2,501,20,683,27.3,290,11.7
Petersham,02340000,1,0.9,1,0.9,28,23.9,52,44.4,31,26.7
Phoenix Academy Public Charter High School Springfield (District),35080000,38,18.7,24,11.8,65,32,185,91.1,174,85.7
Phoenix Charter Academy (District),04930000,146,74.1,120,60.9,18,9.1,175,88.8,85,43.1
Pioneer Charter School of Science (District),04940000,524,78.4,179,26.8,59,8.8,422,63.2,266,39.8
Pioneer Charter School of Science II (PCSS-II) (District),35060000,182,51,85,23.8,43,12,200,56,105,29.4
Pioneer Valley,07500000,6,0.8,1,0.1,149,18.6,293,36.6,183,23
Pioneer Valley Chinese Immersion Charter (District),04970000,82,16.6,14,2.8,29,5.9,114,23.1,79,16
Pioneer Valley Performing Arts Charter Public (District),04790000,2,0.5,2,0.5,81,20.2,143,35.7,88,21.9
Pittsfield,02360000,391,7.2,223,4.1,"1,226",22.2,"3,357",60.9,"2,825",51.7
Plainville,02380000,52,7.4,30,4.2,110,15.5,218,30.7,116,16.4
Plymouth,02390000,261,3.5,98,1.3,"1,482",19.5,"2,814",37.1,"1,802",24
Plympton,02400000,0,0,0,0,35,16.7,75,35.7,44,21.3
Prospect Hill Academy Charter (District),04870000,529,46.7,135,11.9,156,13.8,637,56.3,483,42.7
Provincetown,02420000,24,20,21,17.5,22,18.2,71,58.7,41,34.2
Quabbin,07530000,22,1,6,0.3,463,20.4,885,38.9,596,26.8
Quaboag Regional,07780000,41,3,25,1.8,219,16.1,613,45.1,488,36.1
Quincy,02430000,"3,715",39.5,"1,509",16,"1,751",18.3,"5,425",56.8,"3,392",36
Ralph C Mahar,07550000,14,1.8,12,1.6,129,16.4,375,47.7,305,40.1
Randolph,02440000,"1,058",37.5,443,15.7,669,23.2,"1,881",65.3,"1,293",45.8
Reading,02460000,100,2.4,43,1,714,16.7,"1,006",23.5,361,8.6
Revere,02480000,"4,687",62.1,"1,724",22.8,"1,218",15.8,"5,176",67.3,"3,751",49.7
Richmond,02490000,0,0,0,0,9,5,42,23.5,34,19
Rising Tide Charter Public (District),04830000,4,0.6,0,0,105,15.9,155,23.5,65,9.8
River Valley Charter (District),04820000,5,1.7,0,0,41,14.2,60,20.8,22,7.6
Rochester,02500000,3,0.6,2,0.4,91,18.1,143,28.5,65,13.1
Rockland,02510000,211,9.6,115,5.2,393,17.7,"1,003",45.2,716,32.6
Rockport,02520000,13,1.4,11,1.2,196,21.2,323,35,163,18
Rowe,02530000,0,0,0,0,16,22.5,33,46.5,22,31
Roxbury Preparatory Charter (District),04840000,304,21.4,304,21.4,247,17.4,"1,033",72.6,815,57.3
Sabis International Charter (District),04410000,93,5.9,93,5.9,209,13.3,766,48.7,602,38.2
Salem,02580000,"1,064",28.8,477,12.9,848,22.5,"2,341",62.2,"1,808",48.9
Salem Academy Charter (District),04850000,106,22.3,19,4,70,14.7,199,41.9,146,30.7
Sandwich,02610000,37,1.4,28,1.1,483,18.4,811,30.9,415,16.1
